Phasianus colchicus
Troglodytes troglodytes
Erithacus rubecula
Pyrrhula pyrrhula
Turdus merula
Accipiter nisus
Cyanistes caeruleus
Garrulus glandarius
Streptopelia decaocto
Pica pica
Sitta europaea
Carduelis carduelis
Phylloscopus collybita
Sylvia atricapilla
Certhia familiaris
Chloris chloris
Spinus spinus
Alcedo atthis
Jynx torquilla
Ficedula hypoleuca
Phoenicurus phoenicurus
Upupa epops
Streptopelia turtur
Passer montanus
Alauda arvensis
Oriolus oriolus
Apus apus
Picus viridis
Sturnus vulgaris
Linaria cannabina
Columba palumbus
Fulica atra
Numenius arquata
